"RiskId","FindingId","Severity","RiskScore","Domain","ObjectType","ObjectId","DisplayName","Evidence","BusinessImpact","RecommendedOwner","RecommendedAction","TargetDueDate","Status"
"RISK-0011","DEC-CA-002","High","62","Conditional Access","Group","171b0f85-04f6-4946-97f3-5a7e6bc1987f","Exclude from CA","CA exclusion group 'Exclude from CA' has 3 members in policy 'CA001: Require multifactor authentication for admins' — access review status unknown","Significant impact — remediation required within 30 days","Security Engineering","Create access review for 'Exclude from CA'; validate all 3 members still require CA exclusion","","Open"
"RISK-0012","DEC-CA-002","High","62","Conditional Access","Group","171b0f85-04f6-4946-97f3-5a7e6bc1987f","Exclude from CA","CA exclusion group 'Exclude from CA' has 3 members in policy 'CA006: Require multifactor authentication for Azure management' — access review status unknown","Significant impact — remediation required within 30 days","Security Engineering","Create access review for 'Exclude from CA'; validate all 3 members still require CA exclusion","","Open"
"RISK-0013","DEC-APP-001","Medium","51","Application","Application","080bfa27-01f4-454d-95ba-27ac87f1de13","aljee demo","Application has no owner assigned","Moderate impact — plan remediation within 90 days","App Owner / Platform Engineering","Assign accountable owner to application 'aljee demo'","","Open"
"RISK-0014","DEC-APP-001","Medium","51","Application","Application","487758b7-5368-49fc-9017-5180e5d367cc","P2P Server","Application has no owner assigned","Moderate impact — plan remediation within 90 days","App Owner / Platform Engineering","Assign accountable owner to application 'P2P Server'","","Open"
"RISK-0015","DEC-APP-001","Medium","51","Application","Application","4ef04285-d543-4b22-a5b8-bbf523fea3b2","AdminDroid Service Application","Application has no owner assigned","Moderate impact — plan remediation within 90 days","App Owner / Platform Engineering","Assign accountable owner to application 'AdminDroid Service Application'","","Open"
"RISK-0016","DEC-APP-001","Medium","51","Application","Application","54fc8727-a0f1-4556-aee8-89756e257034","m365-security-assessment-tool-dev","Application has no owner assigned","Moderate impact — plan remediation within 90 days","App Owner / Platform Engineering","Assign accountable owner to application 'm365-security-assessment-tool-dev'","","Open"
"RISK-0017","DEC-APP-001","Medium","51","Application","Application","621d0145-5e48-4839-a4e9-d823e2ce061b","AJ-LAB-M365CopilotReadiness-ReadOnly","Application has no owner assigned","Moderate impact — plan remediation within 90 days","App Owner / Platform Engineering","Assign accountable owner to application 'AJ-LAB-M365CopilotReadiness-ReadOnly'","","Open"
"RISK-0018","DEC-APP-001","Medium","51","Application","Application","e19274e4-dc95-4404-a1a7-c11dbb082991","Milestone_Plan","Application has no owner assigned","Moderate impact — plan remediation within 90 days","App Owner / Platform Engineering","Assign accountable owner to application 'Milestone_Plan'","","Open"
"RISK-0019","DEC-SPN-001","Medium","44","Application","ServicePrincipal","2d035456-ebd9-414e-84e4-8e371c652725","aljee demo","Service principal has no owner assigned — accountability gap for this enterprise application","Moderate impact — plan remediation within 90 days","App Owner / Platform Engineering","Assign accountable owner to service principal 'aljee demo'","","Open"
"RISK-0020","DEC-SPN-001","Medium","44","Application","ServicePrincipal","2bc1fe26-1cb6-4246-b342-69e9b8d38709","FTOP-Multi [wsfed enabled]","Service principal has no owner assigned — accountability gap for this enterprise application","Moderate impact — plan remediation within 90 days","App Owner / Platform Engineering","Assign accountable owner to service principal 'FTOP-Multi [wsfed enabled]'","","Open"
"RISK-0021","DEC-SPN-001","Medium","44","Application","ServicePrincipal","808fec88-d622-4469-bebe-5ea3e988d863","Email","Service principal has no owner assigned — accountability gap for this enterprise application","Moderate impact — plan remediation within 90 days","App Owner / Platform Engineering","Assign accountable owner to service principal 'Email'","","Open"
"RISK-0022","DEC-SPN-001","Medium","44","Application","ServicePrincipal","7f77aae1-4ea2-411b-bc6b-f8f30480722b","mmrpreview","Service principal has no owner assigned — accountability gap for this enterprise application","Moderate impact — plan remediation within 90 days","App Owner / Platform Engineering","Assign accountable owner to service principal 'mmrpreview'","","Open"
"RISK-0023","DEC-SPN-001","Medium","44","Application","ServicePrincipal","68673573-edcd-4e59-b2bd-93ed09918983","iOS Accounts","Service principal has no owner assigned — accountability gap for this enterprise application","Moderate impact — plan remediation within 90 days","App Owner / Platform Engineering","Assign accountable owner to service principal 'iOS Accounts'","","Open"
"RISK-0024","DEC-SPN-001","Medium","44","Application","ServicePrincipal","0727e7f3-236a-43d3-a24b-b217f9ec9ece","Modern Workplace Tools","Service principal has no owner assigned — accountability gap for this enterprise application","Moderate impact — plan remediation within 90 days","App Owner / Platform Engineering","Assign accountable owner to service principal 'Modern Workplace Tools'","","Open"
"RISK-0025","DEC-SPN-001","Medium","44","Application","ServicePrincipal","cdf2c17c-e7e3-4b37-986c-fd76de8a557d","Flipgrid","Service principal has no owner assigned — accountability gap for this enterprise application","Moderate impact — plan remediation within 90 days","App Owner / Platform Engineering","Assign accountable owner to service principal 'Flipgrid'","","Open"
"RISK-0026","DEC-SPN-001","Medium","44","Application","ServicePrincipal","31f59699-c66b-473d-a015-f90a2f485992","Microsoft Tech Community","Service principal has no owner assigned — accountability gap for this enterprise application","Moderate impact — plan remediation within 90 days","App Owner / Platform Engineering","Assign accountable owner to service principal 'Microsoft Tech Community'","","Open"
"RISK-0027","DEC-SPN-001","Medium","44","Application","ServicePrincipal","ee0bb13d-0fd6-4859-9190-ac3275b83042","LCTools","Service principal has no owner assigned — accountability gap for this enterprise application","Moderate impact — plan remediation within 90 days","App Owner / Platform Engineering","Assign accountable owner to service principal 'LCTools'","","Open"
"RISK-0028","DEC-SPN-001","Medium","44","Application","ServicePrincipal","73008c9e-93c1-434d-b251-0a8878a3ecda","M365 MCP Server for Claude","Service principal has no owner assigned — accountability gap for this enterprise application","Moderate impact — plan remediation within 90 days","App Owner / Platform Engineering","Assign accountable owner to service principal 'M365 MCP Server for Claude'","","Open"
"RISK-0029","DEC-SPN-001","Medium","44","Application","ServicePrincipal","7fd872db-261d-4a7a-af35-7955f27dff67","M365 MCP Client for Claude","Service principal has no owner assigned — accountability gap for this enterprise application","Moderate impact — plan remediation within 90 days","App Owner / Platform Engineering","Assign accountable owner to service principal 'M365 MCP Client for Claude'","","Open"
"RISK-0030","DEC-SPN-001","Medium","44","Application","ServicePrincipal","554ed272-410a-4df0-9e83-f7a540320c20","ca-policy-analyzer","Service principal has no owner assigned — accountability gap for this enterprise application","Moderate impact — plan remediation within 90 days","App Owner / Platform Engineering","Assign accountable owner to service principal 'ca-policy-analyzer'","","Open"
"RISK-0031","DEC-SPN-001","Medium","44","Application","ServicePrincipal","9e8ef0cf-3d23-4faa-8369-7e96e3e3b00d","Toreon Security Office","Service principal has no owner assigned — accountability gap for this enterprise application","Moderate impact — plan remediation within 90 days","App Owner / Platform Engineering","Assign accountable owner to service principal 'Toreon Security Office'","","Open"
"RISK-0032","DEC-SPN-001","Medium","44","Application","ServicePrincipal","d80e50d6-8905-4060-8161-ee8d030c3986","PowerShelltoTeamsGraphAPI","Service principal has no owner assigned — accountability gap for this enterprise application","Moderate impact — plan remediation within 90 days","App Owner / Platform Engineering","Assign accountable owner to service principal 'PowerShelltoTeamsGraphAPI'","","Open"
"RISK-0033","DEC-SPN-001","Medium","44","Application","ServicePrincipal","2b709af0-2fd3-4dc3-b17b-b72eb1a16216","AdminDroid Office 365 Reporter","Service principal has no owner assigned — accountability gap for this enterprise application","Moderate impact — plan remediation within 90 days","App Owner / Platform Engineering","Assign accountable owner to service principal 'AdminDroid Office 365 Reporter'","","Open"
"RISK-0034","DEC-SPN-001","Medium","44","Application","ServicePrincipal","36b88399-ab7b-46f1-98db-2d3d20479bab","Microsoft Graph PowerShell","Service principal has no owner assigned — accountability gap for this enterprise application","Moderate impact — plan remediation within 90 days","App Owner / Platform Engineering","Assign accountable owner to service principal 'Microsoft Graph PowerShell'","","Open"
"RISK-0035","DEC-SPN-001","Medium","44","Application","ServicePrincipal","603e5528-c04b-4b1f-a3e9-157b600878fe","AdminDroid Office 365 Reporter - Mail App","Service principal has no owner assigned — accountability gap for this enterprise application","Moderate impact — plan remediation within 90 days","App Owner / Platform Engineering","Assign accountable owner to service principal 'AdminDroid Office 365 Reporter - Mail App'","","Open"
"RISK-0036","DEC-SPN-001","Medium","44","Application","ServicePrincipal","14887b11-9a57-4cc5-8f86-7093e9ef9d73","AdminDroid Office 365 Reporter - Sign In","Service principal has no owner assigned — accountability gap for this enterprise application","Moderate impact — plan remediation within 90 days","App Owner / Platform Engineering","Assign accountable owner to service principal 'AdminDroid Office 365 Reporter - Sign In'","","Open"
"RISK-0037","DEC-SPN-001","Medium","44","Application","ServicePrincipal","389425f6-920b-43c9-8213-370260d3e661","M365Permissions PowerShell Module","Service principal has no owner assigned — accountability gap for this enterprise application","Moderate impact — plan remediation within 90 days","App Owner / Platform Engineering","Assign accountable owner to service principal 'M365Permissions PowerShell Module'","","Open"
"RISK-0038","DEC-SPN-001","Medium","44","Application","ServicePrincipal","1d526b94-2748-4961-a166-6081687d9978","Access Package Builder","Service principal has no owner assigned — accountability gap for this enterprise application","Moderate impact — plan remediation within 90 days","App Owner / Platform Engineering","Assign accountable owner to service principal 'Access Package Builder'","","Open"
"RISK-0039","DEC-GOV-001","Informational","18","Governance","TenantScope","tenant-scope","Access Review API Coverage","Access review API cmdlets unavailable — review governance coverage could not be assessed. AccessReview.Read.All permission may be missing.","Low impact — address in next governance review cycle","IAM Governance","Grant AccessReview.Read.All permission and re-run assessment to enable access review governance coverage.","","Open"
"RISK-0040","DEC-GOV-002","Informational","16","Governance","TenantScope","tenant-scope","Access Review Cmdlet Coverage","Access review data collection failed — review governance coverage could not be assessed.","Low impact — address in next governance review cycle","IAM Governance","Verify AccessReview.Read.All permission and re-run assessment.","","Open"
